"Password Length", "Passwortlänge"
"Must contain both uppercase and lowercase characters", "Muss Groß- und Kleinbuchstaben enthalten"
"Must contain special characters", "Muss Sonderzeichen enthalten"
"at least one special character", "mindestens ein Sonderzeichen"
"both uppercase and lowercase characters", "Groß- und Kleinbuchstaben"
"Please use at least %s characters.", "Bitte verwenden Sie %s Zeichen."
"The Password must contain %s.", "Das Passwort muss %s enthalten."
"The password must contain both uppercase and lowercase characters. ","Ihr Passwort muss Groß- und Kleinbuchstaben enthalten. "
"The password does not the email address. ","Benutzen Sie keine Email als Passwort. "
"The minimum password length is %s. ","Die Passwort Mindestlänge beträgt %s Zeichen. "
"The password must contain at least one special character. ","Ihr Passwort muss mindestens ein Sonderzeichen enthalten. "
"The password must contain at least one number. ","Ihr Passwort muss mindestens eine Zahl enthalten. "
